order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600085.XSHG,MainBoard,HealthCare,0,2012-01-04,0.1264802921590113,-0.23805613893065972,-0.37547671868103544,-1.0421290264012362,-0.7023382805886375,-0.6029911127100256,-0.44253406468519507,-1.9262968217802034,-1.0108220035352016,-1.1667800286962047,-0.5292653620642566,-0.19809156398699745,1.3795617541174305,-0.32959403053614594,-0.4007678339876583,-1.2678105233731654,-0.9194407397738152
600085.XSHG,MainBoard,HealthCare,1,2012-01-05,0.9096169274513574,0.09365899863399828,-0.6261477862523253,-0.7470356250868585,-0.8101601091695605,-0.6543998594987545,-0.6221073034412868,-2.194894902853962,-1.0108220035352016,-2.0004301090551166,-0.5269461789293616,-0.1918142702871347,1.2357248951397346,-0.28196511468842833,-0.39477283925786977,-1.361981167356922,-1.069904862855668
600085.XSHG,MainBoard,HealthCare,2,2012-01-06,0.6598872339429003,0.0014273085458365244,-0.5590667963388823,-0.8290848295244588,-0.8582832535516778,-0.7057717759645302,-0.6216903055254291,-1.6764962601343394,-1.0108220035352016,-1.57512375577424,-0.5482243847017978,-0.1999867547349974,1.029210886035297,-0.2916395303046107,-0.3971439919885176,-1.2871007624274662,-0.9714109181027553
600085.XSHG,MainBoard,HealthCare,3,2012-01-09,0.3183655257300352,-0.24248547952737087,-0.3719461402645385,-1.0460693626543816,-0.8118045349499206,-0.736974436754714,-0.39304632982860005,-0.8825810379530815,-0.24185636419664272,-0.6828394536587613,-0.5714482091319556,-0.218356443100337,0.9650973771151637,-0.39944650736396153,-0.3969839372869705,-1.3241397027090323,-1.0226153024072588
600085.XSHG,MainBoard,HealthCare,4,2012-01-10,-0.12461750046237317,-0.43124353264875526,-0.21660068993866874,-1.2139883075961448,-0.7042527845433503,-0.7390398380737249,-0.06273860726212305,-0.34050589114698426,0.5271092751419161,0.04041010713370481,-0.5714240261862725,-0.22703026079339575,0.8789994703812022,-0.5079203274325023,-0.39740448921654997,-1.2769964599879304,-0.93841705755384
600085.XSHG,MainBoard,HealthCare,5,2012-01-11,0.05303180956533442,-0.43124353264875526,-0.21660068993866874,-1.2139883075961448,-0.6112646589925312,-0.7208959231976327,0.16636011406673445,-0.163316689641519,0.5271092751419161,0.10455576603638489,-0.5642676098497923,-0.22168281560535796,0.7912740198757474,-0.579323702465043,-0.3990961977308715,-1.087942939761724,-0.6708776731380363
600085.XSHG,MainBoard,HealthCare,6,2012-01-12,0.0868697733801397,-0.43124353264875526,-0.21660068993866874,-1.2139883075961448,-0.5307464679786115,-0.6892392691218239,0.3195444632275045,0.2053985989683977,0.5271092751419161,0.11040688478335994,-0.5686690347770885,-0.22376147682936962,0.6292213047932645,-0.5810410609826349,-0.3993051362108785,-0.9570937897178826,-0.5642147105773526
600085.XSHG,MainBoard,HealthCare,7,2012-01-13,0.6062779002212572,-0.16176657523204163,-0.435496551761486,-0.974261919093759,-0.5471340682601888,-0.6674027553058148,0.20822144200758172,-0.2191218296174415,-0.24185636419664272,-0.7427801696050664,-0.6149759520460141,-0.21753596607187775,0.41010509693490255,-0.5613474782736129,-0.39839491102214236,-1.1124600225627994,-0.685691437063721
600085.XSHG,MainBoard,HealthCare,8,2012-01-16,1.3286889898248528,0.20384257951738907,-0.7038205114152605,-0.6490164394368227,-0.658726783788545,-0.6736904400962873,-0.11060357526579562,-0.7834309021691735,-1.0108220035352016,-1.7618948622631245,-0.7096493844069426,-0.19548898941447354,0.32238125323638694,-0.447398473782847,-0.37788659440745803,-1.1680909237264347,-0.8982615304527438
600085.XSHG,MainBoard,HealthCare,9,2012-01-17,0.5983931590174629,-0.15266649378147099,-0.44255770859447907,-0.9661664971989318,-0.6350461164841696,-0.6736792050793466,-0.03919731405752379,-0.2578110599702962,-0.24185636419664272,-0.6076667201426162,-0.7320715241877975,-0.18392000853770082,0.23592793501339457,-0.45714994008179244,-0.3813687882915561,-1.0034305558734338,-0.6389588914185839
600085.XSHG,MainBoard,HealthCare,10,2012-01-18,1.0509459595696369,0.006216009382561391,-0.5625973747553785,-0.8248248068189517,-0.6558386311533505,-0.6780967829115074,-0.08940294406515188,-0.3508936041505017,-0.24185636419664272,-1.0009963534031605,-0.7315789500586708,-0.17866726204781536,0.18298131582199292,-0.4696266050190295,-0.3728922448445906,-1.048714685563508,-0.6392432466580323
600085.XSHG,MainBoard,HealthCare,11,2012-01-19,0.8714477818249081,-0.10213585700353654,-0.4813940711759471,-0.9212145013784954,-0.6319725948715359,-0.6765499574105105,-0.02178943925121581,0.2818468399649259,-0.24185636419664272,-0.5719545139635948,-0.7315541433868867,-0.18144606704742133,0.10853488260988339,-0.5097808875202648,-0.36450277909906287,-0.9285110975035261,-0.5193433288011218
600085.XSHG,MainBoard,HealthCare,12,2012-01-20,0.6550670085705088,-0.2733127997607625,-0.34723209134905986,-1.0734933109488902,-0.5525303833726303,-0.6583999881642079,0.16642780262762993,0.3980073649372874,-0.24185636419664272,0.03971631643456979,-0.7035721362588332,-0.19168612962812995,0.031679129739646573,-0.5444081026478853,-0.35887233605476165,-0.5665726047749516,-0.025649941222082737
600085.XSHG,MainBoard,HealthCare,13,2012-01-30,0.9753186012849449,-0.1753669157807082,-0.4249048165119943,-0.9863607662582407,-0.5138879781620277,-0.6356534060266721,0.21853607659810578,-0.1237012548957759,-1.0108220035352016,-0.21834160883624804,-0.7073038963016947,-0.21894088882442683,-0.007196506389775545,-0.593561101281474,-0.3495913297028713,-0.7036735533966831,-0.0003376457950991092
600085.XSHG,MainBoard,HealthCare,14,2012-01-31,1.0426985986351187,-0.19340838571581076,-0.4107825028460057,-1.0024104369695241,-0.471495598463454,-0.6084312769971509,0.2692730059975332,-0.4691051802391493,-0.24185636419664272,-0.0916955679400768,-0.720812685013579,-0.2328184997144835,-0.07187330576695294,-0.6555946752887005,-0.3420158754358873,-0.7630822158947625,0.020866727375670777
600085.XSHG,MainBoard,HealthCare,15,2012-02-01,1.0402851790673078,-0.15721986299302235,-0.4390271301779821,-0.9702171691638638,-0.4433356623238128,-0.5806585715935061,0.2755141730334513,-0.5232459950569311,-0.24185636419664272,-0.15348361599970564,-0.7279067355195752,-0.24886081386889056,-0.10680029927069193,-0.6990459132400989,-0.33187311052779894,-0.9374808627185883,-0.1428931222089529
600085.XSHG,MainBoard,HealthCare,16,2012-02-02,0.810168987918117,-0.22027462968506425,-0.38959903234702326,-1.0263106164175708,-0.3960538528514434,-0.5483745855907242,0.3266555419304158,-0.39408978699770175,0.5271092751419161,0.07941673983564544,-0.7485674727907591,-0.2679374186135052,-0.13965384375965334,-0.7120337987604122,-0.3234422266936515,-0.9485803043457716,-0.12591740559257084
600085.XSHG,MainBoard,HealthCare,17,2012-02-03,0.6364268096182149,-0.35970783735753115,-0.27662052301911766,-1.1503502361054778,-0.3092981811814991,-0.5040779067660524,0.462834008214402,0.3702167714004492,1.296074914480474,0.5420185052919234,-0.719800872464501,-0.26643375786492945,-0.14529688637961094,-0.6990583158478862,-0.31947446222614345,-0.9395151952363044,-0.06454484059407874
600085.XSHG,MainBoard,HealthCare,18,2012-02-06,0.5661724738187158,-0.3766941870219338,-0.2624982093531299,-1.1654612730487552,-0.23154174177125686,-0.4520870429950547,0.5500584262573351,1.3532362043473407,1.296074914480474,0.582012112128372,-0.7189796353578533,-0.2807387243292044,-0.1741478613447624,-0.6844169491116733,-0.31568658260416743,-0.864897857726242,-0.0767142064983536
600085.XSHG,MainBoard,HealthCare,19,2012-02-07,0.5539264927608004,-0.24248547952737087,-0.3719461402645385,-1.0460693626543816,-0.21039364410095004,-0.4059920957734833,0.4832203601900592,0.25073325993866746,1.296074914480474,0.129608664039611,-0.7067703325203113,-0.3449293335603341,-0.19441324833401705,-0.69057073412849,-0.31469817535642985,-0.9907867508885879,-0.19110078275905812
600085.XSHG,MainBoard,HealthCare,20,2012-02-08,0.2700068411964785,-0.3297491598466456,-0.3013345719345971,-1.1236990313685686,-0.16291638842959502,-0.3590087627686463,0.4932924253180173,1.0311370666412136,1.296074914480474,0.41385870541306663,-0.6934271159697581,-0.39475818351360253,-0.21224338022697223,-0.6825989921940018,-0.3220054702798073,-1.0409199637267477,-0.1017016343684703
600085.XSHG,MainBoard,HealthCare,21,2012-02-09,0.24143603695550578,-0.385151449909812,-0.255437052520136,-1.1729848442964121,-0.10508612191972207,-0.30911047908794254,0.5263355339405643,0.9386290366978479,1.296074914480474,0.5280746743583665,-0.6680297891271156,-0.4116600759562876,-0.22494506621984023,-0.7115255716334207,-0.32841739681985344,-0.9856692770306581,0.06100576010955239
600085.XSHG,MainBoard,HealthCare,22,2012-02-10,0.33706095149246884,-0.35544621245057806,-0.2801511014356162,-1.1465590995352526,-0.0676159952421751,-0.2612148449414222,0.5036333044178787,0.3263168699776395,1.296074914480474,0.36329563365242595,-0.6463220801377169,-0.4261930486534465,-0.26822150659077004,-0.7319098445467696,-0.33078102378979135,-0.6817208537572789,-0.08238231744142138
600085.XSHG,MainBoard,HealthCare,23,2012-02-13,0.6201972769460177,-0.4270826658374721,-0.2201312683551657,-1.2102868053108649,-0.013149736215232199,-0.21130302093406725,0.5264897475832251,1.0563356473877503,1.296074914480474,0.5837224910869809,-0.6279252245470022,-0.4395334079481205,-0.3023044234843377,-0.7133703569774261,-0.33983944352976075,-0.27768622117209996,0.26596086820840353
600085.XSHG,MainBoard,HealthCare,24,2012-02-14,0.6490521655971657,-0.3977927384247126,-0.24484531727064432,-1.1842305198849472,0.020637113827060433,-0.16418061356325606,0.49486745428374734,0.836635291051518,1.296074914480474,0.48563786620652943,-0.6105209815888599,-0.5016025044285759,-0.3339765962863869,-0.7197900962198889,-0.35373585610313246,-0.40599477846599913,0.21203195095286653
600085.XSHG,MainBoard,HealthCare,25,2012-02-15,-0.006641939147522498,-0.4848100071832022,-0.1707031705242076,-1.2616409811606992,0.07677442344554834,-0.11453152765365211,0.5235096173979783,1.2530576730180882,1.296074914480474,0.7882223707833234,-0.5712394981751715,-0.510946492308756,-0.3837612421089759,-0.7065628912983795,-0.3665372141403301,-0.3147889955996611,0.1303013303554418
600085.XSHG,MainBoard,HealthCare,26,2012-02-16,0.14360783953928022,-0.5010983615682456,-0.1565808568582182,-1.2761310823137089,0.12614247271586204,-0.0643023035245248,0.5300866222078554,1.156985317212338,1.296074914480474,0.8345747075824446,-0.5495330230787121,-0.5262601413908233,-0.41760688525812095,-0.6892995891913138,-0.39049843730910816,-0.2013772204400607,0.18550007722286618
600085.XSHG,MainBoard,HealthCare,27,2012-02-17,0.8064423246275175,-0.4848100071832022,-0.1707031705242076,-1.2616409811606992,0.15851941292365612,-0.01722623173350294,0.49434233429330154,0.6353524553353644,0.5271092751419161,0.7173376020735255,-0.5438285800890441,-0.5422997400808459,-0.43506271176252864,-0.6684652777691523,-0.4192099746795831,0.1735257231887937,0.7446612702648624
600085.XSHG,MainBoard,HealthCare,28,2012-02-20,0.8586456419363193,-0.47253435676905786,-0.18129490577369764,-1.250720576802156,0.17860592825479607,0.024710876731324327,0.4360853515956384,0.48808973506326525,0.5271092751419161,0.5600230483507279,-0.522330361714056,-0.5734396793832561,-0.45079527717884454,-0.767074491331674,-0.43714723448498655,0.1072477992813742,0.8468866545846273
