order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600085.XSHG,MainBoard,HealthCare,0,2014-09-01,-0.16458733806923037,1.5506383741860699,-0.8313040121024962,1.455620401905515,-0.33396343569431713,-0.17011296880340096,-0.575934079583488,-0.7833625876925827,-0.5842494388771379,-0.46911744245202636,-0.1115916507389186,-0.3295067375189326,-0.5994150113663527,-0.8176701123888076,-0.36223556202845614,-0.21329910445743522,0.16419727553402616
600085.XSHG,MainBoard,HealthCare,1,2014-09-02,0.08786906012570683,1.4754243183381022,-0.7907067152261427,1.3862170851672202,-0.31813248173075426,-0.20324772882790368,-0.4253599555783237,-0.6192888086336069,0.17976905811604346,-0.27075932757892934,-0.12315554969528852,-0.31795622796930156,-0.5943487734174783,-0.8218241835823425,-0.37046269876128646,-0.2502670075497393,0.10555340628582066
600085.XSHG,MainBoard,HealthCare,2,2014-09-03,-0.015291100131647927,1.4754243183381022,-0.7907067152261427,1.3862170851672202,-0.30702321325448195,-0.22740960504291666,-0.31694751963790246,-0.5548115226830653,0.17976905811604346,-0.25809928341396987,-0.12143613381705157,-0.31942058512288823,-0.5912037727000171,-0.8300238132268591,-0.3760560601379877,-0.42134952195590575,-0.11269564538219602
600085.XSHG,MainBoard,HealthCare,3,2014-09-04,-0.027802322409959605,1.533799738019504,-0.822282390574418,1.4400826518648668,-0.31722521969782125,-0.2488934518936874,-0.2845908994571711,-0.23858163378239186,-0.5842494388771379,-0.38833537537259266,-0.10786722832698224,-0.2943695100552552,-0.5776473368594716,-0.8335969496396145,-0.38517715848168116,-0.8128191031235765,-0.49833042044671877
600085.XSHG,MainBoard,HealthCare,4,2014-09-05,-0.13818572338062418,1.4016256864370897,-0.7501094183497883,1.3181198423455904,-0.2865559902956562,-0.25960415463060527,-0.15442720351174422,0.019189130864603134,0.17976905811604346,-0.0592511040545508,-0.087420773646721,-0.27368558477176197,-0.5658937343104496,-0.8285273480485337,-0.3882559202327118,-1.0393061303626037,-0.7082996767511633
600085.XSHG,MainBoard,HealthCare,5,2014-09-09,-0.14694375700063256,1.4465588702779757,-0.7749188775520042,1.3595816669342362,-0.2779196250839108,-0.26634898788722017,-0.10651063793700717,0.18074904225112493,0.17976905811604346,-0.15323581877687595,-0.1166090108656312,-0.2624080863779677,-0.5681085789248995,-0.863708542290395,-0.394578455935136,-1.1120754206550487,-0.7183113066319341
600085.XSHG,MainBoard,HealthCare,6,2014-09-10,0.08892638522889519,1.5003364028319492,-0.80423914751826,1.409204560995309,-0.28914180135726264,-0.2741146250194107,-0.11884423655671011,0.8783941141474717,0.17976905811604346,-0.26841356563153673,-0.18041407134832682,-0.2577882292933564,-0.5662214662546423,-0.888108371171032,-0.4061001542962951,-1.210251600172836,-0.8718370136213024
600085.XSHG,MainBoard,HealthCare,7,2014-09-11,0.07312810014509868,1.5760313255190284,-0.8448364443946135,1.4790515947113345,-0.32203954270553053,-0.28727410533271647,-0.18401389347114996,0.4711202343377129,-0.5842494388771379,-0.4360245100939833,-0.2214303978762491,-0.23599825617416023,-0.5636233518669954,-0.8937168788014231,-0.42148975296413116,-0.9358614874004861,-0.6128751997708063
600085.XSHG,MainBoard,HealthCare,8,2014-09-12,-0.03169728353177583,1.5633145246513764,-0.8380702282485556,1.467317243351538,-0.3453166475854566,-0.3027170851742611,-0.21160363235914365,0.3229156561460691,-0.5842494388771379,-0.39601920275512226,-0.30684302414195685,-0.22506736824509227,-0.5726670383335549,-0.891545562648246,-0.43930651609122245,-1.0556092804541102,-0.6285402734476103
600085.XSHG,MainBoard,HealthCare,9,2014-09-15,0.16512123356508898,1.6101430232481155,-0.8628796874507715,1.5105279582085795,-0.37827629203551794,-0.3220315100011706,-0.2583793418954572,-0.3808613071043165,-1.3482679358703193,-0.4890806205079057,-0.3493931561951451,-0.2030085154340957,-0.5633592122254634,-0.8918226106766971,-0.4617650077309559,-1.1235409503039797,-0.7077137410225092
600085.XSHG,MainBoard,HealthCare,10,2014-09-16,0.22153966797124597,1.7628922386330401,-0.941818875821459,1.6514763761254987,-0.4484212400606021,-0.3522954621676328,-0.39067404588265564,-1.0406484196658001,-2.1122864328635003,-0.8139537463986378,-0.346647821899845,-0.17497564672619162,-0.5535183621589349,-0.8652642999356519,-0.48871315926273246,-1.1041941773477961,-0.6413085758345194
600085.XSHG,MainBoard,HealthCare,11,2014-09-17,-0.14895409573421353,1.6705487702948751,-0.8944553627990468,1.5662669972463579,-0.47695922660219725,-0.3825329514259559,-0.39035429094823476,-0.9731106000509662,-1.3482679358703193,-0.5525887114469386,-0.393110134596236,-0.17410110260747094,-0.5466223739401648,-0.8857198828338466,-0.5184446994274328,-1.2673057186604535,-0.7989226747938656
600085.XSHG,MainBoard,HealthCare,12,2014-09-18,-0.3120709999843767,1.6445489458632727,-0.8809229305069287,1.5422758159462309,-0.49130824547963853,-0.4097530088073892,-0.3538969089711004,-0.8454476483399858,-0.5842494388771379,-0.4553462981932625,-0.3977517599555526,-0.1595553921480348,-0.5414940523536712,-0.912422272229713,-0.5458386302749597,-1.009335985281902,-0.5120781628979323
600085.XSHG,MainBoard,HealthCare,13,2014-09-19,-0.3118548903919542,1.6187167720996893,-0.8673904982148106,1.5184393332896313,-0.4943770277195488,-0.43217708521084663,-0.295950739602625,-0.5327622051933623,-0.5842494388771379,-0.37946429410069565,-0.40287770134170103,-0.16398036910296818,-0.5403601497977562,-0.9129390266423737,-0.5663660843358141,-0.7351282534396425,-0.3629573204353361
600085.XSHG,MainBoard,HealthCare,14,2014-09-22,-0.128583345008268,1.7495706288212862,-0.9350526596754003,1.639183940957556,-0.5335353627156997,-0.45838536415361414,-0.34167224131683094,-1.6253283861115897,-0.5842494388771379,-0.6623801833708836,-0.39693365606639436,-0.16095289544509603,-0.5295584078967932,-0.9038022496844335,-0.5860667562616702,-0.8246707568440371,-0.4628822586526489
600085.XSHG,MainBoard,HealthCare,15,2014-09-23,-0.0812592686629402,1.6923445377933457,-0.9057323897091446,1.5863789103481891,-0.5468177519413006,-0.4821568105733111,-0.31222985806333015,-1.191091827385848,0.17976905811604346,-0.505010043646915,-0.43642494146377087,-0.1720426318588308,-0.5262995320111213,-0.8981126097415906,-0.601990069740881,-0.8623309788963671,-0.47739110962861464
600085.XSHG,MainBoard,HealthCare,16,2014-09-24,-0.26877464685123853,1.5633145246513764,-0.8380702282485556,1.467317243351538,-0.518443394733415,-0.49518219399964575,-0.18239342081004975,-0.42060382721107425,0.9437875551092239,-0.20503374160934876,-0.42302597351228666,-0.17108072932148974,-0.5118196138062114,-0.9118946193433443,-0.6222666324496783,-0.7863708111771665,-0.437979527639668
600085.XSHG,MainBoard,HealthCare,17,2014-09-25,-0.29226042686805953,1.5296012629816917,-0.8200269851923976,1.4362085343268358,-0.4852323093060266,-0.49858936423924893,-0.06618389613183663,-0.0038877783238413836,0.9437875551092239,-0.14502985159121062,-0.40304359349290075,-0.14827876961787656,-0.49372103601031436,-0.9287094930571483,-0.6457455337162429,-0.6879498098719138,-0.3161024741957387
600085.XSHG,MainBoard,HealthCare,18,2014-09-26,-0.3109848519063366,1.5086756362034108,-0.8087499582822991,1.4168995383304486,-0.4523570980556979,-0.49437289044327265,0.02592678275909825,0.02666047854532891,1.707806052102406,-0.11275844381231877,-0.4082471253537236,-0.16665513445019559,-0.48761621316910203,-0.9337341591421457,-0.657710678415733,-0.6671545876116005,-0.2688167787953216
600085.XSHG,MainBoard,HealthCare,19,2014-09-29,-0.2637954418312954,1.492014809298398,-0.7997283367542208,1.4015258607142893,-0.42136863774838,-0.4844559267712011,0.09480150482902022,0.2926717381552478,2.4718245490955866,-0.08045277516192317,-0.38840331702512193,-0.15195001374416883,-0.48124782199323235,-0.9278299866720061,-0.6743551428499696,-0.3472431692401532,0.20542019176628587
600085.XSHG,MainBoard,HealthCare,20,2014-09-30,-0.470195368577354,1.4795653714539825,-0.7929621206081614,1.3900382169728573,-0.3934604981300732,-0.4706290362314255,0.14204219586781755,1.2293832496978019,2.4718245490955866,-0.05772009084288376,-0.3914718034922044,-0.1426330704392749,-0.4747905969210611,-0.9208315976145307,-0.692894895401542,-0.4971669759041819,0.14380539264435258
600085.XSHG,MainBoard,HealthCare,21,2014-10-08,-0.9500509693360857,1.192177127745494,-0.6305729331027473,1.1248524471045351,-0.28210598756029454,-0.4360529439973507,0.3927388207917518,1.600202279911999,2.4718245490955866,0.6669938638148495,-0.3260951041371228,-0.0769110732797174,-0.43871635791412267,-0.8066285516813873,-0.700608319072282,0.06450509004047132,0.8545209160467987
600085.XSHG,MainBoard,HealthCare,22,2014-10-09,-0.8209255047950298,1.2777316354818709,-0.680191851507179,1.203797353503663,-0.22404385475685024,-0.39613116902754175,0.45732656326220117,1.0600112903320653,1.707806052102406,0.4071016705035994,-0.27072111315984915,-0.042196630009577255,-0.4480777315790302,-0.7575871418690816,-0.7244231335658327,0.06409760248780111,0.860633649312452
600085.XSHG,MainBoard,HealthCare,23,2014-10-10,-0.7429692141036629,1.3451476230637012,-0.7185155414058579,1.2660050497462936,-0.2021519242193042,-0.3595708631777168,0.41671253329452645,0.6881029455598857,1.707806052102406,0.20233752599821422,-0.2648327430143245,-0.028297817645644954,-0.4423595429448934,-0.7335017517212665,-0.7527044383483213,0.18213434470107026,0.7456090986146745
600085.XSHG,MainBoard,HealthCare,24,2014-10-13,-0.625959015072219,1.3092923022187377,-0.6982168079576341,1.2329197685272333,-0.1763751690840448,-0.32487937583087184,0.39413299910747673,1.3644085783466755,1.707806052102406,0.2849462678992125,-0.2286689996084367,-0.003745390828940502,-0.4304580107297565,-0.7124740972652779,-0.7782382285059547,0.06857419015303305,0.6284291713639367
600085.XSHG,MainBoard,HealthCare,25,2014-10-14,-0.44371554205803804,1.3611910508457195,-0.7275372007161799,1.280809026042613,-0.1753254685775653,-0.296904521308465,0.31298105202964627,0.9804303000014465,0.9437875551092239,0.13634881139462718,-0.19880124867084825,0.01016454830440697,-0.4250159361327815,-0.699698040536478,-0.8036313130473854,-0.2745084197556204,0.2731661935053265
600085.XSHG,MainBoard,HealthCare,26,2014-10-15,-0.5261052422820012,1.2152879440306492,-0.6440868520957024,1.146177813548824,-0.13121312408751612,-0.2652094950048742,0.3579290136220938,1.0370165725996936,0.9437875551092239,0.4879613870362471,-0.15306004111064525,0.034417777615654635,-0.40294931112380056,-0.6450529849843494,-0.8172197241448684,-0.010789833037868901,0.49687212941054415
600085.XSHG,MainBoard,HealthCare,27,2014-10-16,-0.5246954061730273,1.3013696782916377,-0.6937059783024735,1.2256092150460813,-0.1275531796116051,-0.23908061003086561,0.2906776081420394,0.5556217522394147,0.17976905811604346,0.22004244946933801,-0.08533618343822649,0.05020774239240153,-0.3833846420286795,-0.6262196891130216,-0.8334226704885743,-0.06079633853331528,0.31177907792456877
600085.XSHG,MainBoard,HealthCare,28,2014-10-17,-0.13392338745558807,1.3773013610781053,-0.7365588600265011,1.2956747177169263,-0.15188156008591416,-0.22331489211498257,0.165467401779373,0.21044139533103917,-0.5842494388771379,-0.003735648345917518,-0.06087496066438535,0.06658875536451762,-0.3717513779065372,-0.6228436488032482,-0.8635481643968039,-0.2586101600473396,-0.047749995851684664
600085.XSHG,MainBoard,HealthCare,29,2014-10-20,-0.39546484643166646,1.2580858919520954,-0.6688964151990884,1.185669362061315,-0.13666216843124557,-0.20748846186529116,0.16620096249107166,0.4561522661069978,-0.5842494388771379,0.26498323576935257,-0.03974782289008297,0.06996478060790663,-0.3638588709850708,-0.606654947766619,-0.883369633687577,0.19938030502221435,0.3952323665865758
600085.XSHG,MainBoard,HealthCare,30,2014-10-21,-0.4666848137971575,1.357173939965269,-0.7252817858886,1.2771022611877532,-0.15932391502056426,-0.1996127676588972,0.07013832322701688,0.11853342420165566,-1.3482679358703193,-0.04786917624170774,-0.0328807704292172,0.03299443788343141,-0.35702263133293377,-0.6504037384467466,-0.8926403013272829,-0.19003041358512504,0.004324032356712771
600085.XSHG,MainBoard,HealthCare,31,2014-10-22,0.09250112663203065,1.5844985693236864,-0.8493296014055236,1.486864692902222,-0.24887495366098347,-0.2122225767337341,-0.17737234539608798,-1.2390993775140262,-1.3482679358703193,-0.6330505547769191,-0.025609854511344503,0.030524078961156123,-0.34622099381981686,-0.6677991592407628,-0.9066066551886032,-0.3638384164611067,-0.2164594110511518
600085.XSHG,MainBoard,HealthCare,32,2014-10-23,0.26652008086889234,1.7054450157490169,-0.9124812165777773,1.5984672974286356,-0.3560898757712666,-0.24495084679509332,-0.42044830379983916,-1.2779179633158808,-1.3482679358703193,-0.918507728927389,-0.02173514371220753,0.033743169422465046,-0.3398192489455406,-0.6525245048796164,-0.9203625371786857,-0.4821097127743869,-0.23580078838603763
600085.XSHG,MainBoard,HealthCare,33,2014-10-24,0.2263944031882234,1.6792192161857562,-0.8989487276122947,1.574267598937662,-0.4334577943796187,-0.28747113481145553,-0.5387577794230315,-1.072376649613435,-1.3482679358703193,-0.8486958780336461,-0.06329033041134867,0.01763871271575286,-0.34290942427975357,-0.6393997797702984,-0.9296285464136446,-0.5125653113871669,-0.18904296265733275
600085.XSHG,MainBoard,HealthCare,34,2014-10-27,0.2913971249176914,1.644515390851729,-0.8809054089916508,1.5422448532615556,-0.4840617157563461,-0.33217332096665275,-0.565120018092829,-1.0871450449344024,-0.5842494388771379,-0.7772803840210456,-0.105326585927407,0.005215053771243729,-0.34317042382383445,-0.6674320435678887,-0.939693610210623,-0.5171209099704909,-0.20019263344048374
600085.XSHG,MainBoard,HealthCare,35,2014-10-28,0.3132646373496126,1.5463888463885493,-0.8290308679572997,1.4516991757411437,-0.494385714691377,-0.37011517264102917,-0.48344009172023605,-0.6669754420871905,-0.5842494388771379,-0.5544699768789699,-0.12237368028076413,-0.021390656721820726,-0.34009262238503185,-0.6975726336462725,-0.9472156759350877,-0.2626141282945332,0.053494573742034875
600085.XSHG,MainBoard,HealthCare,36,2014-10-29,0.43003846753432323,1.5844985693236864,-0.8493296014055236,1.486864692902222,-0.5130002196704307,-0.4043994561335544,-0.43924843939433117,-1.279331096044632,-0.5842494388771379,-0.645863571575374,-0.11457760828875378,-0.05362053119483951,-0.3315543325021879,-0.6940613404529583,-0.9468245082486622,-0.1949614260934489,0.1793185874115083
600085.XSHG,MainBoard,HealthCare,37,2014-10-30,0.39571798400358627,1.571754612829353,-0.8425633569227831,1.4751052838515633,-0.5229105619396668,-0.43391963173411274,-0.38168743114348824,-1.052159720096379,0.17976905811604346,-0.6094099895741837,-0.1351191794739418,-0.08904347614672714,-0.3279477853304975,-0.6883131782202279,-0.9462131463605175,-0.2663940091468346,0.18568601789656494
600085.XSHG,MainBoard,HealthCare,38,2014-10-31,0.33845381478300746,1.7749485248672985,-0.9406381606399795,1.589195098063184,-0.5283863710261463,-0.45869208722197946,-0.32432442006833023,-0.8475513974399396,0.17976905811604346,-0.591774180238965,-0.12885950780825164,-0.13459134015343685,-0.32113087278529223,-0.6813862591138119,-0.9594203210137909,-0.5054373564711299,0.06554435791282222
